Call-Data-Record-ID	Service-Type	Timestamp	Duration	MSISDN-A	MSISDN-B	TXBytes
8	D	24.06.2016 04:53	39	4917100000335		1514682
9	V	11.05.2016 21:34	1438	4917100000313	4917100000339	
10	D	12.05.2016 21:11	52	4917100000366		4959136
11	V	26.06.2016 12:05	116	4917100000258	499311136	
12	D	02.06.2016 20:37	122	4917100000289		6961686
13	V	10.05.2016 02:52	2494	4917100000233	499311223	
14	V	04.03.2016 01:29	93	4917100000337	4917100000153	
15	D	18.06.2016 02:08	258	4917100000195		10944876
16	S	25.05.2016 07:44		4917100000109	4917100000267	
17	V	28.05.2016 05:36	2659	4917100000115	4917100000015	
18	V	14.06.2016 04:38	24	4917100000343	499311238	
19	S	14.06.2016 23:13		4917100000256	4917100000175	
20	V	04.06.2016 07:47	41	4917100000253	499311111	
21	D	17.06.2016 00:44	52	4917100000270		3671096
22	V	24.05.2016 21:57	3319	4917100000251	499311232	
23	D	02.06.2016 14:43	125	4917100000355		1130500
24	V	23.05.2016 11:20	1207	4917100000039	491601111188	
25	V	09.04.2016 18:12	219	4917100000210	491601111152	
26	V	17.06.2016 05:37	85	4917100000302	491601111165	
27	S	21.02.2016 04:25		4917100000227	4917100000252	
28	S	17.06.2016 04:44		4917100000178	4917100000362	
29	D	05.04.2016 07:00	3066	4917100000331		165631452
30	V	11.04.2016 20:21	372	4917100000244	499311149	
31	D	27.04.2016 09:56	101	4917100000269		5297248
32	S	26.05.2016 22:45		4917100000130	4917100000069	
33	V	12.05.2016 14:31	348	4917100000058	4917100000014	
34	S	24.04.2016 01:47		4917100000132	4917100000189	
35	D	21.06.2016 07:50	168	4917100000164		5059152
36	S	15.06.2016 08:30		4917100000268	4917100000177	
37	S	01.06.2016 11:17		4917100000339	4917100000247	
38	S	28.06.2016 13:00		4917100000196	4917100000069	
39	S	24.06.2016 21:23		4917100000159	4917100000326	
40	S	26.06.2016 15:13		4917100000335	4917100000286	
41	S	07.06.2016 09:11		4917100000180	4917100000242	
42	V	21.03.2016 18:49	888	4917100000264	4917100000167	
43	S	10.05.2016 15:03		4917100000108	4917100000186	
44	D	15.03.2016 06:28	31	4917100000006		3062459
45	S	11.06.2016 05:27		4917100000041	4917100000208	
46	D	13.05.2016 05:37	712	4917100000098		63723288
47	V	13.05.2016 23:14	555	4917100000275	499311292	
48	S	02.06.2016 13:05		4917100000051	4917100000213	
49	D	03.03.2016 09:52	28	4917100000141		98336
50	D	18.05.2016 15:38	84	4917100000354		2913540
51	V	23.06.2016 05:59	45	4917100000183	4917100000130	
52	S	24.06.2016 08:48		4917100000156	4917100000102	
53	V	15.04.2016 14:00	25	4917100000329	499311312	
54	S	09.05.2016 06:52		4917100000052	4917100000070	
55	S	03.06.2016 23:49		4917100000377	4917100000083	
56	D	11.06.2016 13:54	252	4917099999997		19003068
57	V	29.04.2016 16:29	1053	4917100000189	491601111143	
58	V	29.05.2016 15:01	47	4917100000059	4917100000019	
59	V	23.05.2016 00:25	531	4917100000263	499311281	
60	D	24.05.2016 17:26	66	4917100000107		2374416
61	V	04.03.2016 11:11	20	4917100000249	4917100000018	
62	S	09.06.2016 05:30		4917100000055	4917100000036	
63	S	11.03.2016 05:42		4917100000207	4917100000124	
64	S	28.05.2016 12:17		4917100000088	4917100000179	
65	D	19.05.2016 00:02	29	4917100000185		2736295
66	V	07.05.2016 23:01	111	4917100000063	4917100000043	
67	S	19.02.2016 09:30		4917100000024	4917100000123	
68	V	18.03.2016 09:12	42	4917100000030	491601111128	
69	D	27.06.2016 04:07	630	4917100000024		46772460
70	S	28.05.2016 09:05		4917100000137	4917100000112	
71	D	16.03.2016 04:39	59	4917100000034		3794290
72	D	13.04.2016 02:48	79	4917100000005		4275954
73	S	23.06.2016 03:15		4917100000341	4917100000131	
74	V	20.06.2016 06:21	50	4917100000334	499311192	
75	S	04.06.2016 07:38		4917100000313	4917100000364	
76	V	22.03.2016 15:34	2670	4917100000095	499311205	
77	D	27.05.2016 08:28	14	4917100000173		570556
78	S	21.05.2016 18:15		4917100000263	4917100000297	
79	V	06.04.2016 20:45	252	4917100000202	4917100000022	
80	D	18.05.2016 18:11	26	4917100000346		1396486
81	V	25.03.2016 09:47	24	4917100000350	499311284	
82	D	18.04.2016 20:10	11	4917100000201		1062006
83	D	24.05.2016 23:23	246	4917100000267		8483802
84	S	20.05.2016 12:55		4917100000226	4917100000345	
85	D	15.04.2016 07:57	327	4917100000244		29965299
